"Source:","C:\STM32\H503\H503.kicad\H503.kicad_sch"
"Date:","4/27/2023 8:32:40 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","46"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","BOOT1, RESET1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P","https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3U-1000P/1534338","",""
"2","8","C1, C2, C7, C8, C9, C10, C13, C14",".1uf","Device:C","Capacitor_SMD:C_0603_1608Metric","~","",""
"3","1","C3","1uf","Device:C","Capacitor_SMD:C_0805_2012Metric","~","",""
"4","1","C6","2.2uf","Device:C_Polarized","Capacitor_SMD:C_0805_2012Metric","~","",""
"5","2","C11, C12","2.2uf","Device:C","Capacitor_SMD:C_0805_2012Metric","~","",""
"6","1","D1","LED","Device:LED","LED_SMD:LED_PLCC-2_3.4x3.0mm_KA","https://www.digikey.com/en/products/detail/broadcom-limited/ASMM-CA03-AR402/13906996","",""
"7","1","FB1","~","Device:FerriteBead_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.digikey.com/en/products/detail/bourns-inc/MH2029-601Y/1970502","",""
"8","4","J1, J2, J5, J6","Conn_01x06_Pin","Connector:Conn_01x06_Pin","BearMetal:PinHeader_1x06_P2.54mm_Vertical__min","~","",""
"9","1","J3","Conn_02x10_Odd_Even","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x10_P1.27mm_Vertical","https://www.digikey.com/en/products/detail/sullins-connector-solutions/GRPB102VWVN-RC/1786460","",""
"10","1","J4","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","https://www.digikey.com/en/products/detail/amphenol-cs-fci/10118194-0001LF/2785389","",""
"11","4","R1, R2, R3, R4","10K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","",""
"12","1","R9","150","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","",""
"13","14","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14","TestPoint","Connector:TestPoint","BearMetal:TestPoint_THTPad_D1.0mm_Drill0.5mm_min","~","",""
"14","1","U1","AP2205-3.3Y","Regulator_Linear:AP2204R-3.3","Package_TO_SOT_SMD:SOT-89-3","https://www.diodes.com/assets/Datasheets/AP2204.pdf","",""
"15","1","U2","STM32H503RBTx","BearMetal:STM32H503RBTx","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32h7b0rb.pdf","",""
"16","1","U3","W25Q128JVS","Memory_Flash:W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","",""
"17","1","U4","WE-TVS-82400102","Power_Protection:WE-TVS-82400102","Package_TO_SOT_SMD:SOT-23-6","https://katalog.we-online.de/pbs/datasheet/82400102.pdf","",""
"18","1","X1","ECS-2520MV-080-CN","Oscillator:ECS-2520MV-xxx-xx","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","https://www.digikey.com/en/products/detail/ecs-inc/ECS-2520MV-080-CN-TR/9742386","",""
