Designator,Mid X,Mid Y,Rotation,Layer
C1,114.9096,-48.4632,-90,bottom
C2,102.17,-58.3,0,bottom
C3,73.4,-52.1,-90,bottom
C4,79.4,-52.1,-90,bottom
C7,94.27,-58.03,180,bottom
C8,91.44,-63.627,-90,bottom
C9,95.96,-55.18,0,bottom
C10,93.1672,-47.675,0,bottom
C11,92.75,-49.54,180,bottom
C12,89.18,-62.65,-90,bottom
C13,111.09,-53.76,90,bottom
C14,83.7184,-54.1274,90,bottom
D2,81.5,-52,90,bottom
D3,70.5575,-51.11,180,bottom
FB1,98.74,-58.3,180,bottom
R1,68.7,-63.32,0,bottom
R2,74.875,-58.7,180,bottom
R3,108.66,-54.92,180,bottom
R9,73.775,-60.5,0,bottom
U1,76.4,-52.5,-90,bottom
